          ;       27900;   ;pago      ;                                        ;28062016      ;224023;200.27.24.112  ;ERR;                    ;1                                                                       
          ;       27906;   ;Filtro    ;Inicio                                  ;28062016      ;224113;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       27906;   ;Filtro    ;tbk_param.txt                           ;28062016      ;224113;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       27906;   ;Filtro    ;Terminado                               ;28062016      ;224113;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
715367325 ;       27906;   ;pago      ;inicio                                  ;28062016      ;224113;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
715367325 ;       27906;   ;pago      ;https://certificacion.webpay.cl         ;28062016      ;224113;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
715367325 ;       27906;   ;pago      ;https://certificacion.webpay.cl         ;28062016      ;224113;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
715367325 ;       27906;   ;pago      ;https://certificacion.webpay.cl         ;28062016      ;224113;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
715367325 ;       27906;   ;pago      ;https://certificacion.webpay.cl         ;28062016      ;224113;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
715367325 ;       27906;   ;pago      ;https://certificacion.webpay.cl         ;28062016      ;224113;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
715367325 ;       27906;   ;pago      ;https://certificacion.webpay.cl         ;28062016      ;224113;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
715367325 ;       27906;   ;pago      ;https://certificacion.webpay.cl         ;28062016      ;224113;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
715367325 ;       27906;   ;pago      ;https://certificacion.webpay.cl         ;28062016      ;224113;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
