          ;       15608;   ;Filtro    ;Inicio                                  ;25112016      ;130219;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       15608;   ;Filtro    ;tbk_param.txt                           ;25112016      ;130219;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       15608;   ;Filtro    ;Terminado                               ;25112016      ;130219;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
007893988 ;       15608;   ;pago      ;inicio                                  ;25112016      ;130219;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
007893988 ;       15608;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;130219;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
007893988 ;       15608;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;130219;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
007893988 ;       15608;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;130219;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
007893988 ;       15608;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;130219;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
007893988 ;       15608;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;130219;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
007893988 ;       15608;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;130219;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
007893988 ;       15608;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;130219;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
007893988 ;       15608;   ;pago      ;https://certificacion.webpay.cl         ;25112016      ;130219;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
          ;       15609;   ;resultado ;Desencriptando                          ;25112016      ;130408;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       15609;   ;resultado ;Validacion                              ;25112016      ;130408;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       15609;   ;resultado ;55                                      ;25112016      ;130408;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       15609;   ;resultado ;55                                      ;25112016      ;130408;200.10.12.55   ;OK ;                    ;http://testing.4tiempos.cl/modules/webpaykcc/validate.php               
7893988   ;       15609;   ;transacc  ;7893988                                 ;25112016      ;130408;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
7893988   ;       15609;   ;resultado ;logro abrir_conexion                    ;25112016      ;130408;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
7893988   ;       15609;   ;transacc  ;7893988                                 ;25112016      ;130408;200.10.12.55   ;OK ;597026007976        ;POST a url http://testing.4tiempos.cl/modules/webpaykcc/validate.php    
7893988   ;       15609;   ;transacc  ;7893988                                 ;25112016      ;130408;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       15610;   ;check_mac ;                                        ;25112016      ;130408;EMPTY          ;OK ;                    ;Todo OK                                                                 
7893988   ;       15609;   ;transacc  ;7893988                                 ;25112016      ;130410;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
7893988   ;       15609;   ;resultado ;55                                      ;25112016      ;130410;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
7893988   ;       15609;   ;resultado ;55                                      ;25112016      ;130410;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
7893988   ;       15609;   ;resultado ;55                                      ;25112016      ;130410;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       15634;   ;Filtro    ;Inicio                                  ;25112016      ;131331;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;       15634;   ;Filtro    ;tbk_param.txt                           ;25112016      ;131331;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;       15634;   ;Filtro    ;Terminado                               ;25112016      ;131331;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
007961111 ;       15634;   ;pago      ;inicio                                  ;25112016      ;131331;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
