          ;       17735;   ;Filtro    ;Inicio                                  ;05122016      ;032543;152.174.33.113 ;OK ;                    ;Inicio de filtrado                                                      
          ;       17735;   ;Filtro    ;tbk_param.txt                           ;05122016      ;032543;152.174.33.113 ;OK ;                    ;Archivo parseado                                                        
          ;       17735;   ;Filtro    ;Terminado                               ;05122016      ;032543;152.174.33.113 ;OK ;                    ;Datos Filtrados con exito                                               
090834321 ;       17735;   ;pago      ;inicio                                  ;05122016      ;032543;152.174.33.113 ;OK ;597026007976        ;Parseo realizado                                                        
090834321 ;       17735;   ;pago      ;https://certificacion.webpay.cl         ;05122016      ;032543;152.174.33.113 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
090834321 ;       17735;   ;pago      ;https://certificacion.webpay.cl         ;05122016      ;032543;152.174.33.113 ;OK ;597026007976        ;Mac generado                                                            
090834321 ;       17735;   ;pago      ;https://certificacion.webpay.cl         ;05122016      ;032543;152.174.33.113 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
090834321 ;       17735;   ;pago      ;https://certificacion.webpay.cl         ;05122016      ;032543;152.174.33.113 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
090834321 ;       17735;   ;pago      ;https://certificacion.webpay.cl         ;05122016      ;032543;152.174.33.113 ;OK ;597026007976        ;Datos listos para ser enviados                                          
090834321 ;       17735;   ;pago      ;https://certificacion.webpay.cl         ;05122016      ;032543;152.174.33.113 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
090834321 ;       17735;   ;pago      ;https://certificacion.webpay.cl         ;05122016      ;032543;152.174.33.113 ;OK ;597026007976        ;Redireccion web                                                         
090834321 ;       17735;   ;pago      ;https://certificacion.webpay.cl         ;05122016      ;032543;152.174.33.113 ;OK ;597026007976        ;Todo OK                                                                 
          ;       17738;   ;pago      ;                                        ;05122016      ;032639;152.174.33.113 ;ERR;                    ;1                                                                       
