          ;        9044;   ;Filtro    ;Inicio                                  ;02032017      ;185501;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;        9044;   ;Filtro    ;tbk_param.txt                           ;02032017      ;185501;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;        9044;   ;Filtro    ;Terminado                               ;02032017      ;185501;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
848090139 ;        9044;   ;pago      ;inicio                                  ;02032017      ;185501;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
848090139 ;        9044;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;185501;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
848090139 ;        9044;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;185501;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
848090139 ;        9044;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;185501;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
848090139 ;        9044;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;185501;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
848090139 ;        9044;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;185501;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
848090139 ;        9044;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;185501;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
848090139 ;        9044;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;185501;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
848090139 ;        9044;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;185501;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
          ;        9085;   ;resultado ;Desencriptando                          ;02032017      ;185953;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        9085;   ;resultado ;Validacion                              ;02032017      ;185953;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        9085;   ;resultado ;74                                      ;02032017      ;185953;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        9085;   ;resultado ;74                                      ;02032017      ;185953;200.10.14.177  ;OK ;                    ;http://testing.4tiempos.cl/modules/webpaykcc/validate.php               
848090139 ;        9085;   ;transacc  ;848090139                               ;02032017      ;185953;200.10.14.177  ;OK ;597026007976        ;conectandose al port :(80)                                              
848090139 ;        9085;   ;resultado ;logro abrir_conexion                    ;02032017      ;185953;200.10.14.177  ; 0 ;597026007976        ;Abrio socket para conex-com                                             
848090139 ;        9085;   ;transacc  ;848090139                               ;02032017      ;185953;200.10.14.177  ;OK ;597026007976        ;POST a url http://testing.4tiempos.cl/modules/webpaykcc/validate.php    
848090139 ;        9085;   ;transacc  ;848090139                               ;02032017      ;185953;200.10.14.177  ;OK ;597026007976        ;mensaje enviado                                                         
          ;        9086;   ;check_mac ;                                        ;02032017      ;185953;EMPTY          ;OK ;                    ;Todo OK                                                                 
848090139 ;        9085;   ;transacc  ;848090139                               ;02032017      ;185954;200.10.14.177  ;OK ;597026007976        ;Llego ACK del Comercio                                                  
848090139 ;        9085;   ;resultado ;74                                      ;02032017      ;185954;200.10.14.177  ;OK ;597026007976        ;tienda acepto transaccion                                               
848090139 ;        9085;   ;resultado ;74                                      ;02032017      ;185954;200.10.14.177  ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
848090139 ;        9085;   ;resultado ;74                                      ;02032017      ;185954;200.10.14.177  ;OK ;597026007976        ;Todo OK                                                                 
          ;        9136;   ;Filtro    ;Inicio                                  ;02032017      ;190432;200.27.24.112  ;OK ;                    ;Inicio de filtrado                                                      
          ;        9136;   ;Filtro    ;tbk_param.txt                           ;02032017      ;190432;200.27.24.112  ;OK ;                    ;Archivo parseado                                                        
          ;        9136;   ;Filtro    ;Terminado                               ;02032017      ;190432;200.27.24.112  ;OK ;                    ;Datos Filtrados con exito                                               
848147282 ;        9136;   ;pago      ;inicio                                  ;02032017      ;190432;200.27.24.112  ;OK ;597026007976        ;Parseo realizado                                                        
848147282 ;        9136;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;190432;200.27.24.112  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
848147282 ;        9136;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;190432;200.27.24.112  ;OK ;597026007976        ;Mac generado                                                            
848147282 ;        9136;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;190432;200.27.24.112  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
848147282 ;        9136;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;190432;200.27.24.112  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
848147282 ;        9136;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;190432;200.27.24.112  ;OK ;597026007976        ;Datos listos para ser enviados                                          
848147282 ;        9136;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;190432;200.27.24.112  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
848147282 ;        9136;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;190432;200.27.24.112  ;OK ;597026007976        ;Redireccion web                                                         
848147282 ;        9136;   ;pago      ;https://webpay3gint.transbank.cl        ;02032017      ;190432;200.27.24.112  ;OK ;597026007976        ;Todo OK                                                                 
          ;        9152;   ;resultado ;Desencriptando                          ;02032017      ;190530;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        9152;   ;resultado ;Validacion                              ;02032017      ;190530;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        9152;   ;resultado ;75                                      ;02032017      ;190530;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        9152;   ;resultado ;75                                      ;02032017      ;190530;200.10.14.177  ;OK ;                    ;http://testing.4tiempos.cl/modules/webpaykcc/validate.php               
848147282 ;        9152;   ;transacc  ;848147282                               ;02032017      ;190530;200.10.14.177  ;OK ;597026007976        ;conectandose al port :(80)                                              
848147282 ;        9152;   ;resultado ;logro abrir_conexion                    ;02032017      ;190530;200.10.14.177  ; 0 ;597026007976        ;Abrio socket para conex-com                                             
848147282 ;        9152;   ;transacc  ;848147282                               ;02032017      ;190530;200.10.14.177  ;OK ;597026007976        ;POST a url http://testing.4tiempos.cl/modules/webpaykcc/validate.php    
848147282 ;        9152;   ;transacc  ;848147282                               ;02032017      ;190530;200.10.14.177  ;OK ;597026007976        ;mensaje enviado                                                         
          ;        9153;   ;check_mac ;                                        ;02032017      ;190531;EMPTY          ;OK ;                    ;Todo OK                                                                 
848147282 ;        9152;   ;transacc  ;848147282                               ;02032017      ;190531;200.10.14.177  ;OK ;597026007976        ;Llego ACK del Comercio                                                  
848147282 ;        9152;   ;resultado ;75                                      ;02032017      ;190531;200.10.14.177  ;OK ;597026007976        ;tienda acepto transaccion                                               
848147282 ;        9152;   ;resultado ;75                                      ;02032017      ;190531;200.10.14.177  ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
848147282 ;        9152;   ;resultado ;75                                      ;02032017      ;190531;200.10.14.177  ;OK ;597026007976        ;Todo OK                                                                 
